1	N	48
1	J	48
0	J	48
1	R	48
2	N	48
2	J	49
1	W	49
2	R	49
3	N	63
3	J	64
2	J	64
3	R	64
3	W	68
2	R	68
2	E	73
1	J	73
1	R	73
4	N	74
4	J	74
1	W	74
4	R	74
5	N	106
5	J	106
4	W	107
5	R	107
4	J	109
5	E	109
4	R	109
4	W	115
0	R	115
0	W	115
4	J	2052
4	R	2052
4	W	2052
0	R	2052
3	J	3067
3	R	3067
3	W	3067
0	R	3067
4	J	3634
4	R	3634
4	W	3634
0	R	3634
4	J	3738
4	R	3738
4	W	3738
0	R	3738
4	J	3821
4	R	3821
4	W	3821
0	R	3821
4	J	3951
4	R	3951
4	W	3951
0	R	3951
4	J	4233
4	R	4233
6	N	4235
6	J	4236
4	W	4236
6	R	4236
6	E	4242
4	J	4242
4	R	4242
7	N	4242
7	J	4243
4	W	4243
7	R	4243
4	J	4245
7	E	4246
4	R	4246
4	W	4246
0	R	4246
4	J	4392
4	R	4392
4	W	4392
0	R	4392
4	J	11497
4	R	11497
4	W	11497
0	R	11497
4	J	11682
4	R	11682
4	W	11682
0	R	11682
4	J	11742
4	R	11742
4	W	11742
0	R	11742
4	J	11988
4	R	11988
4	W	11988
0	R	11988
4	J	12110
4	R	12110
4	W	12110
0	R	12110
4	J	12320
4	R	12320
4	W	12320
0	R	12320
4	J	12360
4	R	12360
4	W	12360
0	R	12360
4	J	12704
4	R	12704
4	W	12704
0	R	12704
4	J	13107
4	R	13107
4	W	13108
0	R	13108
4	J	13327
4	R	13327
4	W	13327
0	R	13327
4	J	13345
4	R	13345
4	W	13345
0	R	13345
4	J	13522
4	R	13522
4	W	13522
0	R	13522
4	J	14598
4	R	14598
4	W	14599
0	R	14599
4	J	14802
4	R	14802
4	W	14802
0	R	14802
4	J	14856
4	R	14856
4	W	14856
0	R	14856
4	J	14959
4	R	14959
4	W	14959
0	R	14959
4	J	15000
4	R	15000
4	W	15000
0	R	15001
4	J	15132
4	R	15132
4	W	15132
0	R	15133
4	J	15364
4	R	15364
4	W	15364
0	R	15364
4	J	15496
4	R	15496
4	W	15496
0	R	15496
4	J	15576
4	R	15576
8	N	15577
8	J	15577
4	W	15578
8	R	15578
8	E	15582
4	J	15582
4	R	15583
9	N	15583
9	J	15583
4	W	15584
9	R	15584
4	J	15586
9	E	15587
4	R	15587
4	W	15587
0	R	15587
4	J	15676
4	R	15676
4	W	15676
0	R	15676
4	J	21589
4	R	21589
4	W	21589
0	R	21589
4	J	21799
4	R	21799
4	W	21799
0	R	21799
4	J	21937
4	R	21937
4	W	21937
0	R	21937
4	J	22218
4	R	22218
4	W	22218
0	R	22218
4	J	23076
4	R	23077
4	W	23077
0	R	23077
4	J	23261
4	R	23261
4	W	23261
0	R	23261
4	J	23344
4	R	23344
4	W	23344
0	R	23344
4	J	23515
4	R	23515
4	W	23515
0	R	23516
4	J	23933
4	R	23933
4	W	23933
0	R	23933
4	J	24117
4	R	24117
4	W	24117
0	R	24118
4	J	24507
4	R	24507
4	W	24507
0	R	24507
4	J	24649
4	R	24649
4	W	24649
0	R	24649
4	J	25755
4	R	25755
4	W	25755
0	R	25755
4	J	25993
4	R	25993
4	W	25994
0	R	25994
4	J	26059
4	R	26059
4	W	26059
0	R	26059
4	J	26302
4	R	26302
4	W	26302
0	R	26302
4	J	26798
4	R	26798
4	W	26798
0	R	26798
4	J	26939
4	R	26939
4	W	26939
0	R	26939
4	J	27010
4	R	27010
4	W	27010
0	R	27010
4	J	27236
4	R	27236
4	W	27236
0	R	27236
4	J	27436
4	R	27436
4	W	27436
0	R	27436
4	J	27778
4	R	27778
4	W	27778
0	R	27778
4	J	28718
4	R	28718
4	W	28718
0	R	28718
4	J	28965
4	R	28965
4	W	28965
0	R	28965
4	J	29098
4	R	29098
4	W	29098
0	R	29098
4	J	29315
4	R	29315
4	W	29315
0	R	29315
4	J	29398
4	R	29398
4	W	29398
0	R	29398
4	J	29498
4	R	29498
4	W	29498
0	R	29498
4	J	29836
4	R	29836
4	W	29836
0	R	29836
4	J	30090
4	R	30091
4	W	30091
0	R	30091
4	J	30124
4	R	30124
4	W	30124
0	R	30124
4	J	30530
4	R	30530
4	W	30530
0	R	30530
4	J	32398
4	R	32398
4	W	32398
0	R	32398
4	J	32618
4	R	32618
4	W	32618
0	R	32618
4	J	32700
4	R	32700
4	W	32701
0	R	32701
4	J	32925
4	R	32925
4	W	32925
0	R	32925
4	J	33466
4	R	33466
10	N	33468
10	J	33469
4	W	33469
10	R	33469
10	E	33475
4	J	33475
4	R	33475
11	N	33475
11	J	33476
4	W	33476
11	R	33476
4	J	33478
11	E	33479
4	R	33479
4	W	33479
0	R	33479
4	J	33620
4	R	33620
4	W	33620
0	R	33620
4	J	39742
4	R	39742
4	W	39742
0	R	39742
4	J	39905
4	R	39905
4	W	39905
0	R	39905
4	J	39994
4	R	39994
4	W	39994
0	R	39995
4	J	40054
4	R	40054
4	W	40054
0	R	40054
4	J	40468
4	R	40468
4	W	40468
0	R	40468
4	J	40670
4	R	40670
4	W	40670
0	R	40670
4	J	40686
4	R	40686
4	W	40686
0	R	40686
4	J	40879
4	R	40879
4	W	40879
0	R	40879
4	J	41006
4	R	41006
12	N	41008
12	J	41008
4	W	41009
12	R	41009
